model,description,dist,n_obs,loglik,aic,loglik_b22_same_n,aic_b22_same_n,delta_ll_vs_b22,delta_aic_vs_b22
B6.1,"Bernoth surprises, with AR(2) lags",studentst,2752,8188.226124975529,-16360.45224995106,8189.675006941292,-16363.350013882584,-1.4488819657626664,2.8977639315253327
B6.2,"Bernoth surprises, no AR lags",studentst,2754,8193.653106177222,-16371.306212354444,8195.28876936164,-16374.577538723279,-1.6356631844173535,3.271326368834707
