quantity,value
"f(P=0, N=0)",0.9829173068447528
"f(P=1, N=0) max-dov",0.9848999716111607
"f(P=0, N=-1) max-haw",1.0247400032162426
"f(P=1, N=-1) max-mix",1.0267226679826504
max,1.0267226679826504
min,0.9829173068447528
range_pct_baseline,4.456668005828138
