model,lag,Q_resid,p_resid,Q_resid_sq,p_resid_sq
B1.1,5,8.540743065244188,0.12884514468233277,3.740561557485253,0.5873395401798909
B1.1,10,11.813271565845756,0.29774796013696514,6.483052896934288,0.7731792593327216
B1.1,20,18.052718403454982,0.5839353154584325,17.125882336673996,0.6447850968173505
B1.2,5,8.231992712317378,0.14390502622278822,6.890502363087293,0.22891199539219964
B1.2,10,12.268009386498132,0.2675200303049823,9.004852679350734,0.5316431007768972
B1.2,20,18.50962901032067,0.5538747608507022,18.442810330321276,0.5582630043176346
B1.3,5,8.481154272486235,0.1316363818398274,2.9918836956786032,0.701237208062769
B1.3,10,12.74065701200838,0.23853561048224536,4.082651592905637,0.9435413918293943
B1.3,20,19.289361081600156,0.5030950709115491,13.986755584501035,0.831166824246222
B2.1,5,8.317283861516112,0.13959468234842687,4.129705456140806,0.5308968329802694
B2.1,10,11.591749823552625,0.3133076056401265,6.822259798370706,0.742111420688915
B2.1,20,17.655301667609898,0.6101036131831643,17.38930635797726,0.627568855921754
B2.2,5,8.842493987904524,0.1155138814720833,4.148231996964411,0.5282777135607557
B2.2,10,12.076229645964563,0.279987139029787,7.185331334441956,0.7078403627223917
B2.2,20,18.32266566376443,0.5661618843500461,17.70511098148582,0.6068270072174772
