model,dist,n_obs,loglik,aic,n_params,fit_time
B1.1,studentst,2754,8193.027442321114,-16378.054884642228,4,0.05115032196044922
B1.2,studentst,2754,8253.446767967473,-16496.893535934945,5,0.0592801570892334
B1.3,studentst,2754,8270.71435409313,-16531.42870818626,5,0.046108245849609375
B2.1,studentst,2754,8193.162368257761,-16372.324736515522,7,6.351287841796875
B2.2,studentst,2754,8194.981289587782,-16373.962579175564,8,10.30209755897522
