model,dist,n_obs,loglik,aic,n_params,fit_time
B5.3,studentst,2749,8179.5972256018695,-16343.194451203739,8,5.4087889194488525
B5.4,studentst,2752,8188.969028276375,-16361.93805655275,8,6.074198961257935
B5.5,studentst,2754,8193.164918358229,-16370.329836716457,8,4.254181861877441
B5.6,studentst,2754,8195.21384149693,-16374.42768299386,8,4.949416875839233
B5.7,studentst,2754,8195.286479698756,-16374.572959397512,8,6.315709829330444
B5.8 (B2.2 Gaussian),normal,2754,8140.2396764476,-16266.4793528952,7,
