model,dist,n_obs,loglik,aic,n_params,fit_time,description,delta_ll_vs_b22,loglik_b22_same_n,aic_b22_same_n,delta_aic_vs_b22
B2.3,studentst,2754,8195.217189241148,-16374.434378482296,8.0,6.495774984359741,"MPS surprise vs intra-period baseline, 5-day exp decay",-0.07158012049148965,,,
B6.1,studentst,2752,8188.226124975529,-16360.45224995106,,,"Bernoth surprises, with AR(2) lags",-1.4488819657626664,8189.675006941292,-16363.350013882584,2.8977639315253327
B6.2,studentst,2754,8193.653106177222,-16371.306212354444,,,"Bernoth surprises, no AR lags",-1.6356631844173537,8195.28876936164,-16374.57753872328,3.271326368834707
